Sigla;Tipo;Tipo2;Natureza;Universidade;Descrição;Região;Estado;Cidade Sede;Título;nome_curto;Região no Portal;Estado Nome;Estado no Portal;Onde criar;TAGs
UFAC;Universidade;Federal;Pública;Universidade Federal do Acre;Universidade Federal do Acre (UFAC), localizada em Rio Branco - AC, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;AC;Rio Branco;UFAC - Universidade Federal do Acre;ufac;Região Norte;Acre;Acre (AC);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/acre;"Região Norte ; Acre ; UFAC ; Universidade ; Federal ; Pública"
UFAL;Universidade;Federal;Pública;Universidade Federal de Alagoas;Universidade Federal de Alagoas (UFAL), localizada em Maceió - AL, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;AL;Maceió;UFAL - Universidade Federal de Alagoas;ufal;Região Nordeste;Alagoas;Alagoas (AL);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/alagoas;"Região Nordeste ; Alagoas ; UFAL ; Universidade ; Federal ; Pública"
UNIFAP;Universidade;Federal;Pública;Universidade Federal do Amapá;Universidade Federal do Amapá (UNIFAP), localizada em Macapá - AP, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;AP;Macapá;UNIFAP - Universidade Federal do Amapá;unifap;Região Norte;Amapá;Amapá (AP);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/amapa;"Região Norte ; Amapá ; UNIFAP ; Universidade ; Federal ; Pública"
UFAM;Universidade;Federal;Pública;Universidade Federal do Amazonas;Universidade Federal do Amazonas (UFAM), localizada em Manaus - AM, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;AM;Manaus;UFAM - Universidade Federal do Amazonas;ufam;Região Norte;Amazonas;Amazonas (AM);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/amazonas;"Região Norte ; Amazonas ; UFAM ; Universidade ; Federal ; Pública"
UFBA;Universidade;Federal;Pública;Universidade Federal da Bahia;Universidade Federal da Bahia (UFBA), localizada em Salvador - BA, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;BA;Salvador;UFBA - Universidade Federal da Bahia;ufba;Região Nordeste;Bahia;Bahia (BA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/bahia;"Região Nordeste ; Bahia ; UFBA ; Universidade ; Federal ; Pública"
UFOB;Universidade;Federal;Pública;Universidade Federal do Oeste da Bahia;Universidade Federal do Oeste da Bahia (UFOB), localizada em Barreiras - BA, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;BA;Barreiras;UFOB - Universidade Federal do Oeste da Bahia;ufob;Região Nordeste;Bahia;Bahia (BA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/bahia;"Região Nordeste ; Bahia ; UFOB ; Universidade ; Federal ; Pública"
UFRB;Universidade;Federal;Pública;Universidade Federal do Recôncavo da Bahia;Universidade Federal do Recôncavo da Bahia (UFRB), localizada em Cruz das Almas - BA, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;BA;Cruz das Almas;UFRB - Universidade Federal do Recôncavo da Bahia;ufrb;Região Nordeste;Bahia;Bahia (BA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/bahia;"Região Nordeste ; Bahia ; UFRB ; Universidade ; Federal ; Pública"
UFSB;Universidade;Federal;Pública;Universidade Federal do Sul da Bahia;Universidade Federal do Sul da Bahia (UFSB), localizada em Itabuna - BA, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;BA;Itabuna;UFSB - Universidade Federal do Sul da Bahia;ufsb;Região Nordeste;Bahia;Bahia (BA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/bahia;"Região Nordeste ; Bahia ; UFSB ; Universidade ; Federal ; Pública"
UFC;Universidade;Federal;Pública;Universidade Federal do Ceará;Universidade Federal do Ceará (UFC), localizada em Fortaleza - CE, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;CE;Fortaleza;UFC - Universidade Federal do Ceará;ufc;Região Nordeste;Ceará;Ceará (CE);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/ceara;"Região Nordeste ; Ceará ; UFC ; Universidade ; Federal ; Pública"
UFCA;Universidade;Federal;Pública;Universidade Federal do Cariri;Universidade Federal do Cariri (UFCA), localizada em Juazeiro do Norte - CE, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;CE;Juazeiro do Norte;UFCA - Universidade Federal do Cariri;ufca;Região Nordeste;Ceará;Ceará (CE);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/ceara;"Região Nordeste ; Ceará ; UFCA ; Universidade ; Federal ; Pública"
UNILAB;Universidade;Federal;Pública;Universidade da Integração Internacional da Lusofonia Afro-Brasileira;Universidade da Integração Internacional da Lusofonia Afro-Brasileira (UNILAB), localizada em Redenção - CE, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;CE;Redenção;UNILAB - Universidade da Integração Internacional da Lusofonia Afro-Brasileira;unilab;Região Nordeste;Ceará;Ceará (CE);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/ceara;"Região Nordeste ; Ceará ; UNILAB ; Universidade ; Federal ; Pública"
UnB;Universidade;Federal;Pública;Universidade de Brasília;Universidade de Brasília (UnB), localizada em Brasília - DF, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Centro-Oeste;DF;Brasília;UnB - Universidade de Brasília;unb;Região Centro-Oeste;Distrito Federal;Distrito Federal (DF);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_centro_oeste/distrito_federal;"Região Centro-Oeste ; Distrito Federal ; UnB ; Universidade ; Federal ; Pública"
UFES;Universidade;Federal;Pública;Universidade Federal do Espírito Santo;Universidade Federal do Espírito Santo (UFES), localizada em Vitória - ES, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;ES;Vitória;UFES - Universidade Federal do Espírito Santo;ufes;Região Sudeste;Espírito Santo;Espírito Santo (ES);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/espirito_santo;"Região Sudeste ; Espírito Santo ; UFES ; Universidade ; Federal ; Pública"
UFCAT;Universidade;Federal;Pública;Universidade Federal de Catalão;Universidade Federal de Catalão (UFCAT), localizada em Catalão - GO, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Centro-Oeste;GO;Catalão;UFCAT - Universidade Federal de Catalão;ufcat;Região Centro-Oeste;Goiás;Goiás (GO);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_centro_oeste/goias;"Região Centro-Oeste ; Goiás ; UFCAT ; Universidade ; Federal ; Pública"
UFG;Universidade;Federal;Pública;Universidade Federal de Goiás;Universidade Federal de Goiás (UFG), localizada em Goiânia - GO, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Centro-Oeste;GO;Goiânia;UFG - Universidade Federal de Goiás;ufg;Região Centro-Oeste;Goiás;Goiás (GO);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_centro_oeste/goias;"Região Centro-Oeste ; Goiás ; UFG ; Universidade ; Federal ; Pública"
UFJ;Universidade;Federal;Pública;Universidade Federal de Jataí;Universidade Federal de Jataí (UFJ), localizada em Jataí - GO, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Centro-Oeste;GO;Jataí;UFJ - Universidade Federal de Jataí;ufj;Região Centro-Oeste;Goiás;Goiás (GO);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_centro_oeste/goias;"Região Centro-Oeste ; Goiás ; UFJ ; Universidade ; Federal ; Pública"
UFMA;Universidade;Federal;Pública;Universidade Federal do Maranhão;Universidade Federal do Maranhão (UFMA), localizada em São Luís - MA, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;MA;São Luís;UFMA - Universidade Federal do Maranhão;ufma;Região Nordeste;Maranhão;Maranhão (MA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/maranhao;"Região Nordeste ; Maranhão ; UFMA ; Universidade ; Federal ; Pública"
UFMT;Universidade;Federal;Pública;Universidade Federal de Mato Grosso;Universidade Federal de Mato Grosso (UFMT), localizada em Cuiabá - MT, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Centro-Oeste;MT;Cuiabá;UFMT - Universidade Federal de Mato Grosso;ufmt;Região Centro-Oeste;Mato Grosso;Mato Grosso (MT);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_centro_oeste/mato_grosso;"Região Centro-Oeste ; Mato Grosso ; UFMT ; Universidade ; Federal ; Pública"
UFR;Universidade;Federal;Pública;Universidade Federal de Rondonópolis;Universidade Federal de Rondonópolis (UFR), localizada em Rondonópolis - MT, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Centro-Oeste;MT;Rondonópolis;UFR - Universidade Federal de Rondonópolis;ufr;Região Centro-Oeste;Mato Grosso;Mato Grosso (MT);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_centro_oeste/mato_grosso;"Região Centro-Oeste ; Mato Grosso ; UFR ; Universidade ; Federal ; Pública"
UFGD;Universidade;Federal;Pública;Universidade Federal da Grande Dourados;Universidade Federal da Grande Dourados (UFGD), localizada em Dourados - MS, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Centro-Oeste;MS;Dourados;UFGD - Universidade Federal da Grande Dourados;ufgd;Região Centro-Oeste;Mato Grosso do Sul;Mato Grosso do Sul (MS);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_centro_oeste/mato_grosso_do_sul;"Região Centro-Oeste ; Mato Grosso do Sul ; UFGD ; Universidade ; Federal ; Pública"
UFMS;Universidade;Federal;Pública;Universidade Federal de Mato Grosso do Sul;Universidade Federal de Mato Grosso do Sul (UFMS), localizada em Campo Grande - MS, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Centro-Oeste;MS;Campo Grande;UFMS - Universidade Federal de Mato Grosso do Sul;ufms;Região Centro-Oeste;Mato Grosso do Sul;Mato Grosso do Sul (MS);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_centro_oeste/mato_grosso_do_sul;"Região Centro-Oeste ; Mato Grosso do Sul ; UFMS ; Universidade ; Federal ; Pública"
CEFET_MG;Centro de Educação Tecnológica;Federal;Pública;Centro Federal de Educação Tecnológica de Minas Gerais;Centro Federal de Educação Tecnológica de Minas Gerais (CEFET_MG), localizada em Belo Horizonte - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Belo Horizonte;CEFET MG - Centro Federal de Educação Tecnológica de Minas Gerais;cefet_mg;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; CEFET_MG ; Centro de Educação Tecnológica ; Federal ; Pública"
UFJF;Universidade;Federal;Pública;Universidade Federal de Juiz de Fora;Universidade Federal de Juiz de Fora (UFJF), localizada em Juiz de Fora - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Juiz de Fora;UFJF - Universidade Federal de Juiz de Fora;ufjf;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UFJF ; Universidade ; Federal ; Pública"
UFLA;Universidade;Federal;Pública;Universidade Federal de Lavras;Universidade Federal de Lavras (UFLA), localizada em Lavras - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Lavras;UFLA - Universidade Federal de Lavras;ufla;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UFLA ; Universidade ; Federal ; Pública"
UFMG;Universidade;Federal;Pública;Universidade Federal de Minas Gerais;Universidade Federal de Minas Gerais (UFMG), localizada em Belo Horizonte - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Belo Horizonte;UFMG - Universidade Federal de Minas Gerais;ufmg;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UFMG ; Universidade ; Federal ; Pública"
UFOP;Universidade;Federal;Pública;Universidade Federal de Ouro Preto;Universidade Federal de Ouro Preto (UFOP), localizada em Ouro Preto - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Ouro Preto;UFOP - Universidade Federal de Ouro Preto;ufop;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UFOP ; Universidade ; Federal ; Pública"
UFSJ;Universidade;Federal;Pública;Universidade Federal de São João del-Rei;Universidade Federal de São João del-Rei (UFSJ), localizada em São João del-Rei - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;São João del-Rei;UFSJ - Universidade Federal de São João del-Rei;ufsj;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UFSJ ; Universidade ; Federal ; Pública"
UFTM;Universidade;Federal;Pública;Universidade Federal do Triângulo Mineiro;Universidade Federal do Triângulo Mineiro (UFTM), localizada em Uberaba - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Uberaba;UFTM - Universidade Federal do Triângulo Mineiro;uftm;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UFTM ; Universidade ; Federal ; Pública"
UFU;Universidade;Federal;Pública;Universidade Federal de Uberlândia;Universidade Federal de Uberlândia (UFU), localizada em Uberlândia - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Uberlândia;UFU - Universidade Federal de Uberlândia;ufu;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UFU ; Universidade ; Federal ; Pública"
UFV;Universidade;Federal;Pública;Universidade Federal de Viçosa;Universidade Federal de Viçosa (UFV), localizada em Viçosa - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Viçosa;UFV - Universidade Federal de Viçosa;ufv;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UFV ; Universidade ; Federal ; Pública"
UFVJM;Universidade;Federal;Pública;Universidade Federal dos Vales do Jequitinhonha e Mucuri;Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM), localizada em Diamantina - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Diamantina;UFVJM - Universidade Federal dos Vales do Jequitinhonha e Mucuri;ufvjm;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UFVJM ; Universidade ; Federal ; Pública"
UNIFAL;Universidade;Federal;Pública;Universidade Federal de Alfenas;Universidade Federal de Alfenas (UNIFAL), localizada em Alfenas - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Alfenas;UNIFAL - Universidade Federal de Alfenas;unifal;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UNIFAL ; Universidade ; Federal ; Pública"
UNIFEI;Universidade;Federal;Pública;Universidade Federal de Itajubá;Universidade Federal de Itajubá (UNIFEI), localizada em Itajubá - MG, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;MG;Itajubá;UNIFEI - Universidade Federal de Itajubá;unifei;Região Sudeste;Minas Gerais;Minas Gerais (MG);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/minas_gerais;"Região Sudeste ; Minas Gerais ; UNIFEI ; Universidade ; Federal ; Pública"
UFOPA;Universidade;Federal;Pública;Universidade Federal do Oeste do Pará;Universidade Federal do Oeste do Pará (UFOPA), localizada em Santarém - PA, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;PA;Santarém;UFOPA - Universidade Federal do Oeste do Pará;ufopa;Região Norte;Pará;Pará (PA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/para;"Região Norte ; Pará ; UFOPA ; Universidade ; Federal ; Pública"
UFPA;Universidade;Federal;Pública;Universidade Federal do Pará;Universidade Federal do Pará (UFPA), localizada em Belém - PA, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;PA;Belém;UFPA - Universidade Federal do Pará;ufpa;Região Norte;Pará;Pará (PA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/para;"Região Norte ; Pará ; UFPA ; Universidade ; Federal ; Pública"
UFRA;Universidade;Federal;Pública;Universidade Federal Rural da Amazônia;Universidade Federal Rural da Amazônia (UFRA), localizada em Belém - PA, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;PA;Belém;UFRA - Universidade Federal Rural da Amazônia;ufra;Região Norte;Pará;Pará (PA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/para;"Região Norte ; Pará ; UFRA ; Universidade ; Federal ; Pública"
UNIFESSPA;Universidade;Federal;Pública;Universidade Federal do Sul e Sudeste do Pará;Universidade Federal do Sul e Sudeste do Pará (UNIFESSPA), localizada em Marabá - PA, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Norte;PA;Marabá;UNIFESSPA - Universidade Federal do Sul e Sudeste do Pará;unifesspa;Região Norte;Pará;Pará (PA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/para;"Região Norte ; Pará ; UNIFESSPA ; Universidade ; Federal ; Pública"
UFCG;Universidade;Federal;Pública;Universidade Federal de Campina Grande;Universidade Federal de Campina Grande (UFCG), localizada em Campina Grande - PB, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;PB;Campina Grande;UFCG - Universidade Federal de Campina Grande;ufcg;Região Nordeste;Paraíba;Paraíba (PB);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/paraiba;"Região Nordeste ; Paraíba ; UFCG ; Universidade ; Federal ; Pública"
UFPB;Universidade;Federal;Pública;Universidade Federal da Paraíba;Universidade Federal da Paraíba (UFPB), localizada em João Pessoa - PB, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;PB;João Pessoa;UFPB - Universidade Federal da Paraíba;ufpb;Região Nordeste;Paraíba;Paraíba (PB);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/paraiba;"Região Nordeste ; Paraíba ; UFPB ; Universidade ; Federal ; Pública"
