Sigla;Nome Completo;Cidade;Estado;Endereço Sede;Setor RI;E-mail RI;Telefone RI;Site Oficial;Redes Sociais Formatadas;Código HTML Mapa Embed;Slug Home;Slug Sobre;Slug Vida;Slug Inter;Descrição SEO
CEFET-MG;Centro Federal de Educação Tecnológica de Minas Gerais;Belo Horizonte;MG;Av. Amazonas, 5253 - Bairro Nova Suíça, Belo Horizonte/MG, CEP: 30.480-000;Secretaria de Relações Internacionais (SRI).;sri@cefetmg.br (Secretaria de Relações Internacionais);+55 (31) 3319-7000;www.cefetmg.br ⚠️ (disponível em vários idiomas).;📸 Instagram: https://www.instagram.com/cefetmg/ | 💼 LinkedIn: https://www.linkedin.com/school/cefet-mg/;"<iframe width=""100%"" height=""480"" src=""https://maps.google.com/maps?q=Av.%20Amazonas%2C%205253%20-%20Bairro%20Nova%20Su%C3%AD%C3%A7a%2C%20Belo%20Horizonte/MG%2C%20CEP%3A%2030.480-000&t=&z=15&ie=UTF8&iwloc=&output=embed"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>";/cefet-mg;/cefet-mg/sobre-nos;/cefet-mg/vida-na-ies;/cefet-mg/estudantes-internacionais;Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG), localizada em Belo Horizonte - MG, oferece ensino público, gratuito e de excelência no Brasil.
UFAC;Universidade Federal do Acre;Rio Branco;Acre;Rodovia BR 364, Km 04, B: Distrito Industrial, Rio Branco, AC, Brasil.;Relações Internacionais;aci@ufac.br;;www.ufac.br;📘 Facebook: https://www.facebook.com/ufacoficial | 📸 Instagram: https://www.instagram.com/ufac_oficial | 𝕏 X: https://www.twitter.com/UFAC_oficial | 📽 YouTube: https://www.youtube.com/UfacTV;"<iframe width=""100%"" height=""480"" src=""https://maps.google.com/maps?q=Rodovia%20BR%20364%2C%20Km%2004%2C%20B%3A%20Distrito%20Industrial%2C%20Rio%20Branco%2C%20AC%2C%20Brasil.&t=&z=15&ie=UTF8&iwloc=&output=embed"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>";/ufac;/ufac/sobre-nos;/ufac/vida-na-ies;/ufac/estudantes-internacionais;Universidade Federal do Acre (UFAC), localizada em Rio Branco - Acre, oferece ensino público, gratuito e de excelência no Brasil.
UFAPE;Universidade Federal do Agreste de Pernambuco;Garanhuns;Pernambuco;Avenida Bom Pastor, s/n - Boa Vista, Garanhuns, PE, CEP 55292-278;Relações Internacionais;dri@ufape.edu.br;;ufape.edu.br;📘 Facebook: http://facebook.com/ufape.comunica | 📸 Instagram: https://www.instagram.com/ufapeoficial/# | 💼 LinkedIn: https://www.linkedin.com/in/ufape | 𝕏 X: https://twitter.com/UFAPE_oficial | 📽 YouTube: https://www.youtube.com/channel/UCPGY8eKRMvAqiGaPoQqfOIw | 📽 TikTok: https://www.tiktok.com/@ufape.oficial;"<iframe width=""100%"" height=""480"" src=""https://maps.google.com/maps?q=Avenida%20Bom%20Pastor%2C%20s/n%20-%20Boa%20Vista%2C%20Garanhuns%2C%20PE%2C%20CEP%2055292-278&t=&z=15&ie=UTF8&iwloc=&output=embed"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>";/ufape;/ufape/sobre-nos;/ufape/vida-na-ies;/ufape/estudantes-internacionais;Universidade Federal do Agreste de Pernambuco (UFAPE), localizada em Garanhuns - Pernambuco, oferece ensino público, gratuito e de excelência no Brasil.
UFJ;Universidade Federal de Jataí;Jataí;Goiás;Campus Jatobá - Cidade Universitária: BR 364, km 195, nº 3.800, Jataí, GO. CEP 75801-615;Escritório de Internacionalização (EI);internationaloffice@ufj.edu.br;+55 64 99982-3543;https://ufj.edu.br/;📸 Instagram: www.instagram.com/ufj.oficial/?hl=pt-br | 💼 LinkedIn: www.linkedin.com/school/universidadefederal-jatai/?originalSubdomain=br | 📽 YouTube: www.youtube.com/channel/UCklii3asI9UbeTgFUvoCDAQ;"<iframe width=""100%"" height=""480"" src=""https://maps.google.com/maps?q=Campus%20Jatob%C3%A1%20-%20Cidade%20Universit%C3%A1ria%3A%20BR%20364%2C%20km%20195%2C%20n%C2%BA%203.800%2C%20Jata%C3%AD%2C%20GO.%20CEP%2075801-615&t=&z=15&ie=UTF8&iwloc=&output=embed"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>";/ufj;/ufj/sobre-nos;/ufj/vida-na-ies;/ufj/estudantes-internacionais;Universidade Federal de Jataí (UFJ), localizada em Jataí - Goiás, oferece ensino público, gratuito e de excelência no Brasil.
UFMS;Universidade Federal de Mato Grosso do Sul;Campo Grande;Mato Grosso do Sul;Avenida Costa e Silva, s/n, Bairro Universitário, CEP 79070-900;Relações Internacionais;aginter@ufms.br;+55 67 3345 3943;www.aginter.ufms.br;📘 Facebook: https://www.facebook.com/ufmsbr/ | 📸 Instagram: https://www.instagram.com/ufmsoficial/ | 💼 LinkedIn: https://www.linkedin.com/school/ufms/ | 📽 YouTube: https://www.youtube.com/user/tvuniversidade;"<iframe width=""100%"" height=""480"" src=""https://maps.google.com/maps?q=Avenida%20Costa%20e%20Silva%2C%20s/n%2C%20Bairro%20Universit%C3%A1rio%2C%20CEP%2079070-900&t=&z=15&ie=UTF8&iwloc=&output=embed"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>";/ufms;/ufms/sobre-nos;/ufms/vida-na-ies;/ufms/estudantes-internacionais;Universidade Federal de Mato Grosso do Sul (UFMS), localizada em Campo Grande - Mato Grosso do Sul, oferece ensino público, gratuito e de excelência no Brasil.
UFRPE;Universidade Federal Rural de Pernambuco;Recife;Pernambuco;Rua Dom Manuel de Medeiros, s/n - Dois Irmãos, Recife, Pernambuco, CEP 52171-900;Núcleo de Internacionalização (NINTER);international@ufrpe.br;+55 (81) 3320-6000;www.ufrpe.br;📘 Facebook: https://pt-br.facebook.com/UFRPEoficial/ | 📸 Instagram: https://www.instagram.com/ufrpe/ | 📽 YouTube: https://www.youtube.com/@UFRPEoficial | 📽 Flickr: https://www.flickr.com/photos/ufrpe;"<iframe width=""100%"" height=""480"" src=""https://maps.google.com/maps?q=Rua%20Dom%20Manuel%20de%20Medeiros%2C%20s/n%20-%20Dois%20Irm%C3%A3os%2C%20Recife%2C%20Pernambuco%2C%20CEP%2052171-900&t=&z=15&ie=UTF8&iwloc=&output=embed"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>";/ufrpe;/ufrpe/sobre-nos;/ufrpe/vida-na-ies;/ufrpe/estudantes-internacionais;Universidade Federal Rural de Pernambuco (UFRPE), localizada em Recife - Pernambuco, oferece ensino público, gratuito e de excelência no Brasil.
UFRR;Universidade Federal de Roraima;Boa Vista;Roraima;Av. Capitão Ene Garcez, 2413 - Aeroporto, Boa Vista - RR, CEP 69310-000;Relações Internacionais;crint@ufrr.br;;www.ufrr.br;📘 Facebook: facebook.com/ufrroficial | 📸 Instagram: instagram.com/ufrroficial | 📽 YouTube: youtube.com/ufrroficial;"<iframe width=""100%"" height=""480"" src=""https://maps.google.com/maps?q=Av.%20Capit%C3%A3o%20Ene%20Garcez%2C%202413%20-%20Aeroporto%2C%20Boa%20Vista%20-%20RR%2C%20CEP%2069310-000&t=&z=15&ie=UTF8&iwloc=&output=embed"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>";/ufrr;/ufrr/sobre-nos;/ufrr/vida-na-ies;/ufrr/estudantes-internacionais;Universidade Federal de Roraima (UFRR), localizada em Boa Vista - Roraima, oferece ensino público, gratuito e de excelência no Brasil.
UFS;Universidade Federal de Sergipe;São Cristóvão;Sergipe;Cidade Universitária Prof. José Aloísio de Campos - Av. Marcelo Deda Chagas, s/n, Bairro Rosa Elze, São Cristóvão/SE - CEP 49107-230;Coordenação de Relações Internacionais (CORI);secretaria.cori@academico.ufs.br e dcm.cori@academico.ufs.br;+55 (79) 3194-6495;www.ufs.br;📘 Facebook: https://www.facebook.com/UFSoficial | 📸 Instagram: https://www.instagram.com/ufsoficial | 💼 LinkedIn: linkedin.com/school/universidade-federal-de-sergipe/ | 📽 YouTube: https://www.youtube.com/user/ufsoficial | 📽 Flickr: https://www.flickr.com/photos/ascomufs;"<iframe width=""100%"" height=""480"" src=""https://maps.google.com/maps?q=Cidade%20Universit%C3%A1ria%20Prof.%20Jos%C3%A9%20Alo%C3%ADsio%20de%20Campos%20-%20Av.%20Marcelo%20Deda%20Chagas%2C%20s/n%2C%20Bairro%20Rosa%20Elze%2C%20S%C3%A3o%20Crist%C3%B3v%C3%A3o/SE%20-%20CEP%2049107-230&t=&z=15&ie=UTF8&iwloc=&output=embed"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>";/ufs;/ufs/sobre-nos;/ufs/vida-na-ies;/ufs/estudantes-internacionais;Universidade Federal de Sergipe (UFS), localizada em São Cristóvão - Sergipe, oferece ensino público, gratuito e de excelência no Brasil.
UFSB;Universidade Federal do Sul da Bahia;Itabuna;Bahia;Rodovia BR 415, km 30, Bloco 1, Loteamento Ferradas, Itabuna - BA, CEP 45613-204;Assessoria de Relações Internacionais (ARI);ari@gfe.ufsb.edu.br;+55 73 2103-8407;www.ufsb.edu.br;📘 Facebook: https://pt-br.facebook.com/faceufsb/ | 📸 Instagram: https://www.instagram.com/ufsb_oficial | 💼 LinkedIn: linkedin.com/school/ufsb/ | 📽 YouTube: http://www.youtube.com/@EducacaoemRedeUFSB;"<iframe width=""100%"" height=""480"" src=""https://maps.google.com/maps?q=Rodovia%20BR%20415%2C%20km%2030%2C%20Bloco%201%2C%20Loteamento%20Ferradas%2C%20Itabuna%20-%20BA%2C%20CEP%2045613-204&t=&z=15&ie=UTF8&iwloc=&output=embed"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>";/ufsb;/ufsb/sobre-nos;/ufsb/vida-na-ies;/ufsb/estudantes-internacionais;Universidade Federal do Sul da Bahia (UFSB), localizada em Itabuna - Bahia, oferece ensino público, gratuito e de excelência no Brasil.
UFSC;Universidade Federal de Santa Catarina;Florianópolis;Santa Catarina;Campus Universitário, Rua Roberto Sampaio Gonzaga, s/nº, Trindade, Florianópolis - SC, CEP 88040-900;Secretaria de Relações Internacionais (SINTER);programas.sinter@contato.ufsc.br | incoming.sinter@contato.ufsc.br;(48) 3721-6406;www.ufsc.br;📘 Facebook: https://pt-br.facebook.com/UniversidadeUFSC | 📸 Instagram: https://www.instagram.com/universidadeufsc | 💼 LinkedIn: não encontrado | 📽 YouTube: https://www.youtube.com/c/UFSCoficial;"<iframe width=""100%"" height=""480"" src=""https://maps.google.com/maps?q=Campus%20Universit%C3%A1rio%2C%20Rua%20Roberto%20Sampaio%20Gonzaga%2C%20s/n%C2%BA%2C%20Trindade%2C%20Florian%C3%B3polis%20-%20SC%2C%20CEP%2088040-900&t=&z=15&ie=UTF8&iwloc=&output=embed"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>";/ufsc;/ufsc/sobre-nos;/ufsc/vida-na-ies;/ufsc/estudantes-internacionais;Universidade Federal de Santa Catarina (UFSC), localizada em Florianópolis - Santa Catarina, oferece ensino público, gratuito e de excelência no Brasil.
